Transaction Name,Organization Location,Organization Industries,Organization Name,Funding Type,Money Raised,Announced Date,Number of Investors,Lead Investors,Funding Stage
Seed - Yararune Technologies,"Toronto, Ontario, Canada",AI Infrastructure,Yararune Technologies,Seed,"$2,400,000","Aug 6, 2025",4,"Pinnacle Capital Partners, Crescent Capital",Seed
Seed - Lumen Works,"Palo Alto, California, United States","Generative AI, AI Infrastructure, Agentic AI",Lumen Works,Seed,"$6,100,000","Jan 22, 2026",1,Northstar Capital,Seed
Seed - Zenith Intelligence,"New York, New York, United States",Generative AI,Zenith Intelligence,Seed,"$4,400,000","Jan 17, 2026",2,Keystone Ventures,Seed
Series C - Drift Cloud,"New York, New York, United States","AI Infrastructure, SaaS",Drift Cloud,Series C,"$228,200,000","Oct 9, 2025",3,Catalyst Ventures,Late Stage Venture
Series A - Luminorbit Cloud,"Austin, Texas, United States","SaaS, Generative AI",Luminorbit Cloud,Series A,"$34,900,000","Jul 18, 2025",4,"Pinnacle Fund, Meridian Partners",Early Stage Venture
Series A - Ciphercascade Works,"Vancouver, British Columbia, Canada","Agentic AI, SaaS",Ciphercascade Works,Series A,"$19,900,000","Feb 5, 2026",5,"Northstar VC, Westbrook Capital Partners",Early Stage Venture
Series B - Vant Sense,"New York, New York, United States","AI Infrastructure, Foundational AI",Vant Sense,Series B,"$288,900,000","Feb 27, 2026",4,Frontier Ventures,Early Stage Venture
Seed - Apexaether Dynamics,"New York, New York, United States",SaaS,Apexaether Dynamics,Seed,"$3,400,000","Jun 6, 2025",3,Cedar Capital Partners,Seed
Series B - Opalcascade Intelligence,"Austin, Texas, United States","AI Infrastructure, Agentic AI, SaaS",Opalcascade Intelligence,Series B,"$109,600,000","May 16, 2026",5,Vista Fund,Early Stage Venture
Seed - Quant Works,"San Francisco, California, United States",Foundational AI,Quant Works,Seed,"$4,900,000","Mar 23, 2026",1,Ascent VC,Seed
Series B - Vergepace Flow,"Toronto, Ontario, Canada","Generative AI, AI Infrastructure",Vergepace Flow,Series B,"$210,400,000","Nov 25, 2025",5,Vista Fund,Early Stage Venture
Series A - Delve Grid,"Vancouver, British Columbia, Canada",Generative AI,Delve Grid,Series A,"$11,200,000","Jun 15, 2025",3,Keystone Ventures,Early Stage Venture
Seed - Flux Intelligence,"Denver, Colorado, United States","SaaS, Foundational AI, Generative AI",Flux Intelligence,Seed,"$55,300,000","Jun 27, 2025",3,"Sterling VC, Frontier Ventures",Seed
Seed - Bloom Flow,"San Francisco, California, United States",Generative AI,Bloom Flow,Seed,"$1,800,000","Aug 15, 2025",4,"Frontier Fund, Aurora Capital",Seed
Series A - Iris Works,"Austin, Texas, United States",Foundational AI,Iris Works,Series A,"$32,900,000","Jul 13, 2025",4,Westbrook Growth,Early Stage Venture
Series A - JunO Labs,"Seattle, Washington, United States","Generative AI, Agentic AI",JunO Labs,Series A,"$18,900,000","Nov 22, 2025",3,"Stonebridge Ventures, Northstar Growth",Early Stage Venture
Series C - Haloverge Sense,"San Francisco, California, United States","Agentic AI, AI Infrastructure",Haloverge Sense,Series C,"$367,400,000","Sep 5, 2025",3,North VC,Late Stage Venture
Series B - Delve Compute,"New York, New York, United States","AI Infrastructure, Generative AI, SaaS",Delve Compute,Series B,"$78,400,000","Mar 9, 2026",2,Stonebridge Capital,Early Stage Venture
Seed - Emberlumen Logic,"Austin, Texas, United States","Foundational AI, Generative AI",Emberlumen Logic,Seed,"$7,000,000","Apr 1, 2026",3,Vertex Growth,Seed
Series A - Cobalt.ai,"San Francisco, California, United States",Generative AI,Cobalt.ai,Series A,"$10,900,000","Jul 22, 2025",4,Pinnacle Ventures,Early Stage Venture
Series B - Nova Intelligence,"Mountain View, California, United States",Agentic AI,Nova Intelligence,Series B,"$70,400,000","Feb 13, 2026",6,Sterling Capital,Early Stage Venture
Series C - Nova Compute,"New York, New York, United States","Generative AI, SaaS",Nova Compute,Series C,"$123,100,000","Jul 10, 2025",4,"Keystone Ventures, Westbrook Capital Partners",Late Stage Venture
Seed - Grovecogni.ai,"Boston, Massachusetts, United States","Generative AI, SaaS",Grovecogni.ai,Seed,"$3,400,000","Jul 19, 2025",1,Northstar Ventures,Seed
Series A - Synth Logic,"San Jose, California, United States","SaaS, Generative AI",Synth Logic,Series A,"$20,800,000","Apr 2, 2026",5,Lakeside Capital,Early Stage Venture
Series A - Prism Technologies,"San Francisco, California, United States","Generative AI, AI Infrastructure",Prism Technologies,Series A,"$34,300,000","Sep 14, 2025",2,Aurora Growth,Early Stage Venture
Series A - Covevertex Sense,"Toronto, Ontario, Canada","SaaS, Foundational AI, AI Infrastructure",Covevertex Sense,Series A,"$39,200,000","Nov 6, 2025",3,Pinnacle Growth,Early Stage Venture
Series B - Umbra Logic,"Vancouver, British Columbia, Canada","Generative AI, SaaS",Umbra Logic,Series B,"$54,800,000","Aug 16, 2025",6,"Pinnacle Ventures, Granite Capital Partners",Early Stage Venture
Series B - Lattice AI,"San Francisco, California, United States",Generative AI,Lattice AI,Series B,"$78,100,000","Jun 3, 2025",5,Aurora Group,Early Stage Venture
Seed - Larqflux Scale,"Austin, Texas, United States",SaaS,Larqflux Scale,Seed,"$700,000","Jul 12, 2025",3,Keystone Fund,Seed
Series C - Sift Works,"Cambridge, Massachusetts, United States",AI Infrastructure,Sift Works,Series C,"$104,200,000","Mar 24, 2026",4,"Summit Group, Cobalt Fund",Late Stage Venture
Seed - Umbra Layer,"New York, New York, United States","Agentic AI, Generative AI",Umbra Layer,Seed,"$6,200,000","Jan 13, 2026",3,Lakeside Capital,Seed
Series B - Tildetess Layer,"San Francisco, California, United States","Agentic AI, Foundational AI",Tildetess Layer,Series B,"$171,300,000","Nov 2, 2025",3,Brightwater Capital Partners,Early Stage Venture
Seed - Reify Technologies,"San Francisco, California, United States","AI Infrastructure, Generative AI",Reify Technologies,Seed,"$4,300,000","Apr 29, 2026",1,Redwood Ventures,Seed
Series B - Drift,"Los Angeles, California, United States","AI Infrastructure, SaaS",Drift,Series B,"$74,600,000","Aug 19, 2025",4,"Aurora Group, Bay Capital",Early Stage Venture
Series A - Cobaltlumin Intelligence,"Chicago, Illinois, United States",Generative AI,Cobaltlumin Intelligence,Series A,"$18,700,000","Dec 25, 2025",5,"Pinnacle VC, Foundry Group",Early Stage Venture
Seed - Driftcogni Core,"San Francisco, California, United States","Agentic AI, SaaS",Driftcogni Core,Seed,"$7,200,000","May 25, 2026",2,Meridian Partners,Seed
Seed - Aether Works,"Austin, Texas, United States",AI Infrastructure,Aether Works,Seed,"$2,400,000","Jun 15, 2025",3,Cedar Capital Partners,Seed
Series A - Codaapex Layer,"Vancouver, British Columbia, Canada","Generative AI, SaaS",Codaapex Layer,Series A,"$17,700,000","Aug 21, 2025",4,Lakeside Ventures,Early Stage Venture
Seed - Halo Logic,"Boston, Massachusetts, United States","Foundational AI, AI Infrastructure, Generative AI",Halo Logic,Seed,"$6,000,000","May 4, 2026",3,"Stonebridge Group, Ascent VC",Seed
Series A - Pinnacle,"San Jose, California, United States","AI Infrastructure, Generative AI, SaaS",Pinnacle,Series A,"$134,300,000","Aug 21, 2025",3,Highland Fund,Early Stage Venture
Series A - Atlas.ai,"San Francisco, California, United States","Agentic AI, Generative AI",Atlas.ai,Series A,"$18,300,000","Jul 29, 2025",2,"Union Square Capital Partners, Beacon Ventures",Early Stage Venture
Series B - Vail Scale,"Palo Alto, California, United States","SaaS, AI Infrastructure",Vail Scale,Series B,"$69,100,000","Aug 22, 2025",5,"Harbor Fund, Lighthouse Capital",Early Stage Venture
Series A - Tilde,"San Francisco, California, United States","AI Infrastructure, Generative AI",Tilde,Series A,"$9,000,000","Apr 25, 2026",5,Meridian VC,Early Stage Venture
Series A - Tess Technologies,"New York, New York, United States","Agentic AI, AI Infrastructure",Tess Technologies,Series A,"$69,100,000","Aug 5, 2025",4,Vertex Growth,Early Stage Venture
Seed - Apex Systems,"San Francisco, California, United States","Agentic AI, Generative AI",Apex Systems,Seed,"$2,100,000","Feb 21, 2026",3,Ascent Growth,Seed
Series A - Lumin Labs,"Palo Alto, California, United States","AI Infrastructure, SaaS, Foundational AI",Lumin Labs,Series A,"$24,100,000","Mar 8, 2026",4,"Compass Capital Partners, Ascent Growth",Early Stage Venture
Seed - Bloom Labs,"San Francisco, California, United States",SaaS,Bloom Labs,Seed,"$1,900,000","Mar 10, 2026",4,"Vista Capital, Sterling VC",Seed
Seed - Hale Stack,"Washington, District of Columbia, United States","Generative AI, AI Infrastructure",Hale Stack,Seed,"$2,200,000","May 17, 2026",1,Ascent Capital,Seed
Series A - Voxbrim Scale,"San Francisco, California, United States",Generative AI,Voxbrim Scale,Series A,"$61,400,000","Nov 23, 2025",5,"Pinnacle VC, Anchor Ventures",Early Stage Venture
Seed - Pacesynth,"Washington, District of Columbia, United States",Agentic AI,Pacesynth,Seed,"$2,300,000","Jan 11, 2026",2,Vista Fund,Seed
Seed - Arc Flow,"San Francisco, California, United States","Generative AI, Foundational AI",Arc Flow,Seed,"$4,600,000","Feb 9, 2026",3,"Union Square Capital, Beacon Ventures",Seed
Series B - Runevertex Sense,"Toronto, Ontario, Canada","SaaS, Generative AI, AI Infrastructure",Runevertex Sense,Series B,"$125,200,000","Sep 13, 2025",3,"Pinnacle Growth, Anchor Ventures",Early Stage Venture
Seed - Spark Labs,"Austin, Texas, United States","Generative AI, SaaS",Spark Labs,Seed,"$4,300,000","Feb 11, 2026",1,Crescent Fund,Seed
Series A - Ketlsage Scale,"San Francisco, California, United States","Generative AI, Foundational AI",Ketlsage Scale,Series A,"$19,000,000","Mar 30, 2026",3,"Catalyst Capital, Pinnacle Ventures",Early Stage Venture
Series A - Cortex.ai,"Montreal, Quebec, Canada",SaaS,Cortex.ai,Series A,"$27,100,000","Mar 1, 2026",5,Cedar Capital Partners,Early Stage Venture
Series B - Framesynth Dynamics,"Palo Alto, California, United States",SaaS,Framesynth Dynamics,Series B,"$53,900,000","Mar 5, 2026",4,Brightwater VC,Early Stage Venture
Seed - Onyxumbra AI,"Seattle, Washington, United States",Generative AI,Onyxumbra AI,Seed,"$6,500,000","Dec 1, 2025",4,"Granite Capital Partners, Stonebridge Capital",Seed
Series A - Solace Cloud,"New York, New York, United States","Generative AI, SaaS",Solace Cloud,Series A,"$6,800,000","Feb 9, 2026",3,Aurora Ventures,Early Stage Venture
Seed - Brim,"Boston, Massachusetts, United States","Generative AI, Agentic AI",Brim,Seed,"$17,500,000","Jul 26, 2025",1,Frontier Ventures,Seed
Series A - Aethervox Core,"Washington, District of Columbia, United States",Agentic AI,Aethervox Core,Series A,"$10,900,000","Nov 19, 2025",5,"Brightwater Capital Partners, Keystone Fund",Early Stage Venture
Series D - Aether Labs,"San Francisco, California, United States",Generative AI,Aether Labs,Series D,"$339,100,000","Nov 8, 2025",7,"Northstar Growth, Granite Capital",Late Stage Venture
Series B - Halo Flow,"Seattle, Washington, United States","Agentic AI, AI Infrastructure, SaaS",Halo Flow,Series B,"$121,100,000","Feb 26, 2026",2,"Compass Capital Partners, Stonebridge Ventures",Early Stage Venture
Series A - Vail Stack,"San Jose, California, United States",Generative AI,Vail Stack,Series A,"$13,700,000","May 21, 2026",3,Highland Ventures,Early Stage Venture
Seed - Zenith Grid,"New York, New York, United States",Foundational AI,Zenith Grid,Seed,"$6,500,000","Aug 4, 2025",2,"Highland Ventures, Apex Partners",Seed
Series A - Beacon Cloud,"San Francisco, California, United States",Generative AI,Beacon Cloud,Series A,"$24,100,000","Sep 1, 2025",5,Aurora Capital,Early Stage Venture
Series A - Sift Technologies,"Chicago, Illinois, United States","SaaS, Agentic AI",Sift Technologies,Series A,"$7,800,000","Dec 16, 2025",5,Apex Capital,Early Stage Venture
Series B - Dyne Layer,"New York, New York, United States",Generative AI,Dyne Layer,Series B,"$123,700,000","Mar 29, 2026",6,Aurora Group,Early Stage Venture
Series A - Mura,"Los Angeles, California, United States",AI Infrastructure,Mura,Series A,"$54,000,000","Feb 24, 2026",5,Foundry VC,Early Stage Venture
Seed - Vector Core,"Boston, Massachusetts, United States",Generative AI,Vector Core,Seed,"$3,700,000","Jul 31, 2025",3,Beacon Ventures,Seed
Seed - Sable.ai,"Seattle, Washington, United States",SaaS,Sable.ai,Seed,"$1,700,000","Aug 26, 2025",1,Sterling VC,Seed
Series D - Lumin Logic,"Montreal, Quebec, Canada","SaaS, Generative AI",Lumin Logic,Series D,"$395,700,000","Jan 19, 2026",5,"Aurora Capital, Beacon Ventures",Late Stage Venture
Series C - Cascade.ai,"Denver, Colorado, United States","Generative AI, Agentic AI",Cascade.ai,Series C,"$177,500,000","Aug 20, 2025",7,Highland Partners,Late Stage Venture
Series A - Mosaic Labs,"Toronto, Ontario, Canada","SaaS, Foundational AI",Mosaic Labs,Series A,"$70,300,000","May 5, 2026",2,"Brightwater Partners, Keystone Ventures",Early Stage Venture
Seed - Tensor Works,"New York, New York, United States","SaaS, Generative AI",Tensor Works,Seed,"$1,800,000","Apr 22, 2026",1,"Stonebridge Capital, Aurora Group",Seed
Series A - Vant Core,"Cambridge, Massachusetts, United States","AI Infrastructure, SaaS",Vant Core,Series A,"$31,700,000","Feb 27, 2026",3,"Anchor Ventures, Meridian Partners",Early Stage Venture
Series B - Prism.ai,"Toronto, Ontario, Canada","AI Infrastructure, Foundational AI",Prism.ai,Series B,"$199,700,000","Oct 5, 2025",5,Ascent Partners,Early Stage Venture
Series D - Iris Core,"San Francisco, California, United States","Agentic AI, Foundational AI",Iris Core,Series D,"$550,800,000","Dec 27, 2025",3,Northstar Fund,Late Stage Venture
Seed - Hyper Works,"San Francisco, California, United States",Agentic AI,Hyper Works,Seed,"$3,400,000","Sep 22, 2025",2,Brightwater Partners,Seed
Seed - Cognianchor Flow,"Toronto, Ontario, Canada","AI Infrastructure, Generative AI, SaaS",Cognianchor Flow,Seed,"$7,900,000","Feb 21, 2026",2,Summit Group,Seed
Series D - Lattice Compute,"San Jose, California, United States","Agentic AI, SaaS",Lattice Compute,Series D,"$102,400,000","Jun 19, 2025",3,"Stonebridge Ventures, Highland Fund",Late Stage Venture
Series A - Lumin Dynamics,"Austin, Texas, United States","Generative AI, Foundational AI",Lumin Dynamics,Series A,"$75,200,000","Oct 17, 2025",2,Lakeside Ventures,Early Stage Venture
Series B - Runeyara Technologies,"San Diego, California, United States","Agentic AI, Generative AI",Runeyara Technologies,Series B,"$26,500,000","Nov 13, 2025",5,Brightwater Fund,Early Stage Venture
Seed - Tilde Scale,"Mountain View, California, United States","Generative AI, SaaS",Tilde Scale,Seed,"$4,900,000","Feb 10, 2026",4,"Foundry Group, Highland Fund",Seed
Series A - Cove Logic,"San Francisco, California, United States","Generative AI, SaaS",Cove Logic,Series A,"$16,100,000","Jul 13, 2025",2,Meridian VC,Early Stage Venture
Series C - Bloom Grid,"Chicago, Illinois, United States","Generative AI, Agentic AI",Bloom Grid,Series C,"$171,400,000","Dec 28, 2025",5,"Apex Ventures, Anchor Partners",Late Stage Venture
Seed - Vector Scale,"Boston, Massachusetts, United States","Agentic AI, Generative AI",Vector Scale,Seed,"$2,000,000","Feb 3, 2026",1,"Northstar VC, Lighthouse Capital Partners",Seed
Seed - Nimbusbrim.ai,"Washington, District of Columbia, United States",Generative AI,Nimbusbrim.ai,Seed,"$3,300,000","Aug 11, 2025",4,Meridian Partners,Seed
Seed - Pinnacle Logic,"San Francisco, California, United States","SaaS, AI Infrastructure, Generative AI",Pinnacle Logic,Seed,"$2,400,000","Dec 8, 2025",3,Meridian VC,Seed
Series C - Opalmara Grid,"San Francisco, California, United States","SaaS, AI Infrastructure, Generative AI",Opalmara Grid,Series C,"$131,600,000","Jul 19, 2025",3,"Westbrook Capital Partners, Summit Capital Partners",Late Stage Venture
Seed - Synth Intelligence,"Denver, Colorado, United States","SaaS, Generative AI",Synth Intelligence,Seed,"$7,600,000","Apr 16, 2026",4,"Granite Capital Partners, Foundry Group",Seed
Series A - Glide Intelligence,"Palo Alto, California, United States",AI Infrastructure,Glide Intelligence,Series A,"$38,400,000","Mar 31, 2026",4,"North Capital, Frontier Fund",Early Stage Venture
Series C - Helixbloom Intelligence,"San Francisco, California, United States",Generative AI,Helixbloom Intelligence,Series C,"$50,000,000","Feb 17, 2026",6,Keystone Fund,Late Stage Venture
Seed - Mosaicarc Sense,"Atlanta, Georgia, United States","Generative AI, AI Infrastructure",Mosaicarc Sense,Seed,"$13,400,000","Mar 14, 2026",4,Cobalt Fund,Seed
Series B - Tess Intelligence,"San Francisco, California, United States","Agentic AI, Generative AI",Tess Intelligence,Series B,"$136,100,000","Jul 19, 2025",4,"Lakeside Ventures, Keystone Ventures",Early Stage Venture
Series A - Haleonyx Flow,"Palo Alto, California, United States",Generative AI,Haleonyx Flow,Series A,"$28,300,000","Jan 28, 2026",5,Keystone Fund,Early Stage Venture
Series B - Drift Labs,"Austin, Texas, United States","AI Infrastructure, Generative AI",Drift Labs,Series B,"$21,800,000","Sep 8, 2025",6,"Northstar Ventures, Apex Partners",Early Stage Venture
Series C - Yara Logic,"Montreal, Quebec, Canada",SaaS,Yara Logic,Series C,"$58,100,000","Jul 4, 2025",4,"Lakeside Ventures, Redwood Growth",Late Stage Venture
Series B - Cascade Intelligence,"New York, New York, United States",Agentic AI,Cascade Intelligence,Series B,"$112,200,000","Nov 7, 2025",4,Aurora Capital,Early Stage Venture
Seed - Frameflux Systems,"San Francisco, California, United States","AI Infrastructure, Foundational AI",Frameflux Systems,Seed,"$4,400,000","Jun 11, 2025",2,"Stonebridge Capital, Foundry Partners",Seed
Series A - Cobalt Stack,"Seattle, Washington, United States",SaaS,Cobalt Stack,Series A,"$24,400,000","Aug 7, 2025",4,Northstar Capital,Early Stage Venture
Seed - Sable Layer,"New York, New York, United States",Agentic AI,Sable Layer,Seed,"$3,400,000","Jan 17, 2026",2,Granite Capital,Seed
Series A - Vector Works,"Palo Alto, California, United States","Generative AI, SaaS",Vector Works,Series A,"$45,100,000","Jan 30, 2026",3,Northstar Fund,Early Stage Venture
Series A - Dyne Logic,"San Francisco, California, United States",AI Infrastructure,Dyne Logic,Series A,"$24,200,000","Jul 22, 2025",3,"Sterling Capital, Summit Capital Partners",Early Stage Venture
Series A - Bloom Layer,"Austin, Texas, United States",Generative AI,Bloom Layer,Series A,"$30,000,000","Dec 9, 2025",4,Apex Capital,Early Stage Venture
Seed - Ember,"San Francisco, California, United States","SaaS, AI Infrastructure, Foundational AI",Ember,Seed,"$9,000,000","May 24, 2026",2,"Cedar Capital Partners, Sterling Capital Partners",Seed
Seed - Spark Logic,"San Francisco, California, United States",SaaS,Spark Logic,Seed,"$4,300,000","Sep 29, 2025",2,Westbrook Growth,Seed
Seed - Velasolace Logic,"Austin, Texas, United States","SaaS, Generative AI",Velasolace Logic,Seed,"$8,500,000","Jul 20, 2025",4,Sterling Capital Partners,Seed
Series A - Vox Flow,"San Jose, California, United States",Generative AI,Vox Flow,Series A,"$13,300,000","Feb 12, 2026",2,"Brightwater VC, Union Square Capital Partners",Early Stage Venture
Series A - Latent Stack,"San Jose, California, United States",Generative AI,Latent Stack,Series A,"$25,500,000","Dec 16, 2025",5,North Group,Early Stage Venture
Seed - Glide Layer,"San Jose, California, United States",Foundational AI,Glide Layer,Seed,"$14,800,000","Jun 7, 2025",2,Pinnacle Partners,Seed
Series A - Cradle Core,"Mountain View, California, United States","Generative AI, SaaS",Cradle Core,Series A,"$10,600,000","Jan 17, 2026",4,"Northstar Ventures, Catalyst Partners",Early Stage Venture
Series D - Vox Scale,"Washington, District of Columbia, United States",Generative AI,Vox Scale,Series D,"$192,300,000","Jan 19, 2026",6,Northstar Capital,Late Stage Venture
Seed - Zeal Logic,"San Jose, California, United States","Foundational AI, Generative AI",Zeal Logic,Seed,"$2,700,000","Aug 31, 2025",3,Brightwater Fund,Seed
Series A - Forge Logic,"Boston, Massachusetts, United States",Generative AI,Forge Logic,Series A,"$17,600,000","Aug 4, 2025",3,"Harbor Partners, Summit Ventures",Early Stage Venture
Seed - Opal,"San Francisco, California, United States","AI Infrastructure, SaaS",Opal,Seed,"$3,900,000","Apr 23, 2026",1,Union Square VC,Seed
Seed - Strata Works,"Los Angeles, California, United States","Agentic AI, Foundational AI",Strata Works,Seed,"$9,900,000","May 22, 2026",1,Keystone Fund,Seed
Seed - Larq Labs,"Toronto, Ontario, Canada","Generative AI, SaaS, Agentic AI",Larq Labs,Seed,"$4,200,000","Jun 10, 2025",4,"Summit Ventures, Vista Capital",Seed
Series A - Prism Systems,"Austin, Texas, United States","AI Infrastructure, Generative AI",Prism Systems,Series A,"$32,700,000","Apr 1, 2026",4,Keystone Fund,Early Stage Venture
Series C - Vertexjuno Layer,"San Francisco, California, United States",Agentic AI,Vertexjuno Layer,Series C,"$212,300,000","Jun 17, 2025",7,"Brightwater Partners, Bay Capital",Late Stage Venture
Series A - Opal Logic,"Los Angeles, California, United States",Generative AI,Opal Logic,Series A,"$18,200,000","Mar 27, 2026",3,"Cedar Capital Partners, Harbor Partners",Early Stage Venture
Series A - Iris Dynamics,"Boston, Massachusetts, United States","SaaS, Generative AI",Iris Dynamics,Series A,"$11,000,000","Jul 27, 2025",4,Summit Capital Partners,Early Stage Venture
Series B - Latent Core,"Palo Alto, California, United States","SaaS, Agentic AI, Generative AI",Latent Core,Series B,"$109,700,000","May 18, 2026",4,Catalyst Partners,Early Stage Venture
Series A - Cove Compute,"San Francisco, California, United States","Foundational AI, Agentic AI",Cove Compute,Series A,"$30,500,000","Jan 24, 2026",3,"Redwood Ventures, Foundry VC",Early Stage Venture
Series A - Cipher AI,"San Francisco, California, United States",Agentic AI,Cipher AI,Series A,"$25,600,000","Nov 14, 2025",3,Brightwater Partners,Early Stage Venture
Series A - Zeal Flow,"Washington, District of Columbia, United States",Agentic AI,Zeal Flow,Series A,"$26,700,000","Oct 1, 2025",3,Summit Group,Early Stage Venture
Seed - Vela Dynamics,"Vancouver, British Columbia, Canada",SaaS,Vela Dynamics,Seed,"$8,900,000","Dec 15, 2025",1,"Frontier Growth, Catalyst Partners",Seed
Seed - Quant Logic,"Toronto, Ontario, Canada","AI Infrastructure, Agentic AI",Quant Logic,Seed,"$5,600,000","Jul 24, 2025",2,"Granite Capital, Frontier Ventures",Seed
Series B - Vectornexa Works,"New York, New York, United States",AI Infrastructure,Vectornexa Works,Series B,"$166,400,000","Nov 23, 2025",4,"Northstar Ventures, Compass Ventures",Early Stage Venture
Series B - Spark Sense,"San Francisco, California, United States","AI Infrastructure, SaaS",Spark Sense,Series B,"$61,900,000","Aug 21, 2025",6,"Keystone Fund, Beacon Ventures",Early Stage Venture
Series B - Verge Technologies,"Atlanta, Georgia, United States",SaaS,Verge Technologies,Series B,"$31,600,000","Mar 26, 2026",4,Keystone Ventures,Early Stage Venture
Seed - Cradle Grid,"San Francisco, California, United States","SaaS, AI Infrastructure",Cradle Grid,Seed,"$3,800,000","Nov 8, 2025",3,Bay Capital,Seed
Series A - Axi Cloud,"San Francisco, California, United States","Foundational AI, Agentic AI, Generative AI",Axi Cloud,Series A,"$20,100,000","Aug 1, 2025",3,Highland Partners,Early Stage Venture
Series A - Zenith Labs,"San Francisco, California, United States","Generative AI, SaaS",Zenith Labs,Series A,"$16,700,000","Mar 1, 2026",2,"Ascent Growth, Compass Ventures",Early Stage Venture
Series A - Strata Dynamics,"Austin, Texas, United States",Generative AI,Strata Dynamics,Series A,"$14,600,000","Jul 3, 2025",3,Ascent Growth,Early Stage Venture
Seed - Halehyper Layer,"Mountain View, California, United States",SaaS,Halehyper Layer,Seed,"$3,000,000","Jul 13, 2025",4,Foundry Group,Seed
Series A - Brim Intelligence,"Seattle, Washington, United States","Generative AI, Agentic AI",Brim Intelligence,Series A,"$13,300,000","Apr 20, 2026",3,Cardinal Capital,Early Stage Venture
Series A - Dynestrata Layer,"New York, New York, United States","Generative AI, SaaS, Agentic AI",Dynestrata Layer,Series A,"$19,200,000","Jan 8, 2026",4,Beacon Ventures,Early Stage Venture
Seed - Glide Dynamics,"New York, New York, United States","SaaS, Generative AI",Glide Dynamics,Seed,"$2,300,000","Nov 1, 2025",2,Apex Ventures,Seed
Seed - Vela Cloud,"Waterloo, Ontario, Canada",Agentic AI,Vela Cloud,Seed,"$6,000,000","Oct 16, 2025",2,"Keystone Fund, Anchor VC",Seed
Series A - Mosaic Layer,"Boston, Massachusetts, United States",SaaS,Mosaic Layer,Series A,"$12,000,000","Jan 20, 2026",4,Summit Group,Early Stage Venture
Seed - Pinnacle Scale,"San Francisco, California, United States","Generative AI, AI Infrastructure",Pinnacle Scale,Seed,"$2,600,000","Jul 25, 2025",1,Northstar Fund,Seed
Series B - Parse Grid,"Waterloo, Ontario, Canada","AI Infrastructure, SaaS, Foundational AI",Parse Grid,Series B,"$141,700,000","Nov 23, 2025",4,Beacon Ventures,Early Stage Venture
Series C - Nexa Cloud,"Austin, Texas, United States",Generative AI,Nexa Cloud,Series C,"$161,100,000","Jan 11, 2026",4,Foundry Group,Late Stage Venture
Series B - Latticeaxi AI,"Washington, District of Columbia, United States",AI Infrastructure,Latticeaxi AI,Series B,"$154,200,000","Dec 2, 2025",5,"Stonebridge Capital, Crescent Capital",Early Stage Venture
Seed - Cognitilde Technologies,"New York, New York, United States",Agentic AI,Cognitilde Technologies,Seed,"$6,300,000","Jun 17, 2025",3,"Bay Capital, Northstar Capital",Seed
Series A - Tess.ai,"San Diego, California, United States","SaaS, Agentic AI",Tess.ai,Series A,"$50,000,000","Jul 8, 2025",5,"Ascent Partners, Compass Ventures",Early Stage Venture
Series C - Vail Cloud,"San Diego, California, United States","Generative AI, AI Infrastructure, Agentic AI",Vail Cloud,Series C,"$332,600,000","Apr 16, 2026",6,Union Square Capital,Late Stage Venture
Seed - Wren Cloud,"Seattle, Washington, United States",SaaS,Wren Cloud,Seed,"$4,100,000","Aug 15, 2025",2,Redwood Ventures,Seed
Seed - Rune Logic,"San Jose, California, United States","SaaS, AI Infrastructure",Rune Logic,Seed,"$3,600,000","Nov 3, 2025",2,Vista Capital,Seed
Seed - Lumen AI,"Los Angeles, California, United States","SaaS, Generative AI, AI Infrastructure",Lumen AI,Seed,"$6,500,000","Dec 22, 2025",2,Aurora Growth,Seed
Series A - Larq,"San Francisco, California, United States",SaaS,Larq,Series A,"$20,100,000","Apr 6, 2026",4,"Vista Fund, North Group",Early Stage Venture
Seed - Forgelumen Layer,"Denver, Colorado, United States","SaaS, Generative AI, Agentic AI",Forgelumen Layer,Seed,"$1,700,000","Nov 6, 2025",1,Pinnacle Fund,Seed
Seed - Cascadecobalt Cloud,"San Francisco, California, United States","Generative AI, SaaS, Agentic AI",Cascadecobalt Cloud,Seed,"$6,100,000","Sep 16, 2025",3,North Group,Seed
Series B - Nimbus Technologies,"Denver, Colorado, United States",Generative AI,Nimbus Technologies,Series B,"$35,400,000","Nov 4, 2025",5,"Frontier Growth, Pinnacle Ventures",Early Stage Venture
Seed - Vant Technologies,"San Francisco, California, United States","Agentic AI, SaaS",Vant Technologies,Seed,"$2,200,000","Aug 20, 2025",1,Union Square Capital,Seed
Seed - Pacearc Layer,"Denver, Colorado, United States","Generative AI, AI Infrastructure, SaaS",Pacearc Layer,Seed,"$7,500,000","Mar 4, 2026",3,"Frontier Fund, Redwood Ventures",Seed
Series A - Prismspark Sense,"San Francisco, California, United States","SaaS, Generative AI",Prismspark Sense,Series A,"$8,900,000","Sep 24, 2025",4,Compass Capital Partners,Early Stage Venture
Seed - Ember Technologies,"New York, New York, United States","Foundational AI, AI Infrastructure",Ember Technologies,Seed,"$2,200,000","Dec 15, 2025",1,"Crescent Capital, Keystone Ventures",Seed
Seed - Vertex Intelligence,"Denver, Colorado, United States",SaaS,Vertex Intelligence,Seed,"$2,900,000","Apr 15, 2026",3,Aurora Capital,Seed
